#{"t_start": 1628125012.0210338, "env_id": "SlimeVolleySurvivalNoFrameskip-v0"}
r,l,t
-0.81,419,1813.751406
-0.55,445,1817.792963
1.49,649,1820.226268
-0.14,486,1821.995295
1.05,605,1824.226779
1.82,582,1826.385185
1.0,600,1828.576729
-0.25,475,1830.323922
0.89,589,1832.488139
2.36,636,1834.854399
1.32,632,1837.158555
2.09,709,1839.791817
0.38,538,1841.702414
0.62,562,1843.764369
0.11,511,1845.667135
0.0,500,1847.47627
0.9,590,1849.65024
4.86,786,1852.553645
1.68,668,1857.502095
2.89,789,1860.388559
1.41,641,1862.753682
-0.03,497,1864.536968
-0.2,480,1866.277771
0.13,513,1868.08854
1.65,565,1870.106659
-0.13,487,1871.903029
0.15,515,1873.78825
1.96,596,1875.937237
-0.32,468,1877.595183
1.94,594,1879.739275
0.52,552,1881.721223
1.68,668,1884.09906
0.76,576,1886.212132
4.67,967,1889.756585
-0.66,434,1891.319064
0.01,501,1895.644789
-0.78,422,1897.218118
1.04,604,1899.418581
-0.09,491,1901.207986
0.89,589,1903.391535
3.12,812,1906.355674
3.96,696,1908.912131
2.29,729,1911.50804
2.27,727,1914.207167
-1.06,394,1915.660438
0.64,564,1917.753191
0.88,588,1919.990604
1.74,674,1922.419117
3.33,633,1924.702877
0.78,578,1926.813905
2.29,729,1929.515303
0.15,515,1931.405343
0.34,534,1935.800523
4.59,859,1938.913451
1.69,669,1941.370444
0.16,516,1943.276157
0.27,527,1945.252668
-0.48,452,1946.914119
0.19,519,1948.832109
2.84,684,1951.334246
0.8,580,1953.418212
0.7,570,1955.476985
0.13,513,1957.386472
1.98,698,1959.99058
-0.24,476,1961.750496
5.24,924,1965.075916
-0.6,440,1966.696458
0.71,571,1968.801318
0.8,580,1973.370914
-0.22,478,1975.063515
0.67,567,1977.102062
2.05,705,1979.703343
3.1,810,1982.644173
1.68,668,1985.109404
1.5,550,1987.121963
-0.17,483,1988.896742
1.52,652,1991.276537
0.67,567,1993.307599
4.23,923,1996.636007
0.83,583,1998.79517
4.01,801,2001.683927
-0.22,478,2003.455013
2.59,759,2006.267763
-0.47,453,2007.94558
1.13,613,2012.700485
-0.71,429,2014.26962
0.42,542,2016.303259
1.88,688,2018.839046
2.2,720,2021.508521
2.79,779,2024.391879
0.09,509,2026.241805
0.35,535,2028.214942
2.13,713,2030.809523
-0.32,468,2032.549852
-0.77,423,2034.087395
0.12,512,2035.978769
3.91,891,2039.159494
0.18,518,2041.025862
0.52,552,2043.059494
2.85,685,2045.567237
1.29,629,2047.821427
0.57,557,2052.292451
0.76,576,2054.45419
0.26,526,2056.400856
1.58,658,2058.841682
0.9,590,2061.01584
0.33,533,2062.957872
1.87,687,2065.395349
1.24,524,2067.279483
1.19,519,2069.175759
0.63,563,2071.256641
0.63,563,2073.304909
-0.53,447,2074.893948
0.13,513,2076.771151
0.57,557,2078.805059
-0.11,489,2080.579259
1.55,655,2083.016404
1.42,642,2085.35312
0.36,536,2087.314218
0.06,506,2091.665056
2.75,775,2094.464161
0.55,555,2096.467706
-0.04,496,2098.33085
-0.77,423,2099.850051
0.16,516,2101.731298
0.25,525,2103.622902
0.99,599,2105.831105
2.77,677,2108.233219
0.36,536,2110.205873
0.23,523,2112.142359
-0.62,438,2113.703465
0.61,561,2115.784155
1.66,666,2118.212089
-0.43,457,2119.884043
0.19,519,2121.772393
1.4,640,2124.144584
-0.25,475,2125.897924
1.94,594,2130.468724
0.98,598,2132.701229
0.7,570,2134.773117
-0.28,472,2136.551597
1.88,688,2139.049281
3.8,880,2142.284497
-0.32,468,2143.979629
0.15,515,2145.866573
1.38,638,2148.179842
0.68,568,2150.274347
-0.38,462,2151.99183
1.37,637,2154.333185
1.99,699,2156.907206
-0.67,433,2158.462798
-0.46,454,2160.109547
0.62,562,2162.152873
0.37,537,2164.155659
1.03,603,2168.769093
1.69,669,2171.140672
2.35,635,2173.44192
0.62,562,2175.492171
0.6,560,2177.56553
2.3,730,2180.242233
2.35,735,2182.938033
-0.53,447,2184.589655
0.64,564,2186.636855
0.52,552,2188.640804
-0.49,451,2190.308997
-0.54,446,2191.985074
2.45,745,2194.717803
1.7,670,2197.175595
1.48,548,2199.152086
0.21,521,2201.07268
0.14,514,2202.900562
-0.12,488,2204.680975
0.26,526,2209.017453
0.91,591,2211.115546
2.98,698,2213.623781
3.55,855,2216.762762
3.81,881,2219.990277
-0.6,440,2221.626083
-0.85,415,2223.203326
0.49,549,2225.241153
2.66,666,2227.655415
0.99,599,2229.889095
2.52,752,2232.72682
-0.57,443,2234.331889
5.88,1088,2238.371731
1.95,695,2240.862659
1.46,646,2243.268508
-0.07,493,2247.561158
1.25,625,2249.900615
1.76,676,2252.344969
0.12,512,2254.179719
1.82,582,2256.306184
0.38,538,2258.262735
2.45,745,2260.963424
0.9,590,2263.094737
-0.25,475,2264.818862
0.9,590,2267.017215
0.14,514,2268.929778
0.85,585,2271.134996
1.89,689,2273.668655
-0.81,419,2275.211315
-0.55,445,2276.822951
2.72,772,2279.683703
2.82,782,2282.550558
0.07,507,2286.842012
0.7,570,2288.868211
-0.22,478,2290.591738
3.63,863,2293.766673
0.21,521,2295.679625
-0.54,446,2297.332607
2.88,788,2300.23558
1.92,692,2302.771109
0.25,525,2304.647995
0.47,547,2306.70769
0.0,500,2308.569611
2.95,795,2311.471467
1.01,601,2313.716048
-0.41,459,2315.376425
5.87,887,2318.646892
-1.3,370,2319.994089
1.87,687,2324.972486
1.12,612,2327.249856
-0.43,457,2328.947162
1.48,648,2331.325141
0.3,530,2333.272682
1.55,655,2335.685341
-0.51,449,2337.354904
4.01,801,2340.286954
2.01,701,2342.83374
1.74,674,2345.314961
3.17,717,2347.939741
1.25,625,2350.259545
0.67,567,2352.352123
0.31,531,2354.332386
0.43,543,2356.319741
1.43,543,2358.367765
3.49,749,2361.066762
-0.62,438,2365.109856
0.88,588,2367.264984
-0.16,484,2368.98518
-0.53,447,2370.62875
1.12,612,2372.923586
0.34,534,2374.878872
0.29,529,2376.851441
0.64,564,2378.935617
-0.45,455,2380.645433
2.12,712,2383.257456
0.14,514,2385.1542
0.62,562,2387.238012
0.21,521,2389.14027
1.91,591,2391.317822
4.76,876,2394.519763
-0.42,458,2396.13263
2.6,760,2398.917315
5.17,1017,2405.110849
2.13,713,2407.723305
0.93,593,2409.8688
2.44,644,2412.1631
-0.09,491,2413.93329
1.7,670,2416.403006
-0.31,469,2418.144628
1.72,672,2420.582762
1.21,621,2422.876552
1.81,681,2425.428773
2.37,737,2428.228597
-0.33,467,2429.956401
2.81,781,2432.874412
2.34,734,2435.623595
3.91,791,2438.603151
0.71,571,2443.235785
4.9,790,2446.155019
-0.15,485,2447.928211
0.38,538,2449.927076
2.05,705,2452.536561
2.13,613,2454.775025
1.4,640,2457.164713
-0.03,497,2459.081554
1.81,681,2461.769043
2.12,712,2464.46668
2.21,621,2466.743684
3.34,834,2469.848402
0.85,585,2472.117242
0.0,500,2474.000804
0.45,545,2475.974905
1.91,691,2478.511479
1.1,610,2483.217398
0.47,547,2485.249851
2.76,776,2488.131419
-0.6,440,2489.738809
1.09,609,2491.962819
0.51,551,2493.94608
0.9,590,2496.109581
-0.27,473,2497.821616
-0.43,457,2499.531721
0.02,502,2501.395618
1.25,625,2503.701771
1.35,635,2506.071366
0.5,550,2508.072697
1.01,601,2510.298725
-0.31,469,2512.059218
1.12,612,2514.317218
0.07,507,2516.185817
5.51,951,2522.227224
1.04,604,2524.425301
-0.06,494,2526.288306
3.21,721,2528.943398
-0.27,473,2530.737926
2.83,683,2533.233228
1.22,622,2535.527269
2.17,717,2538.157371
1.32,632,2540.51733
-0.51,449,2542.117643
2.02,602,2544.374811
0.13,513,2546.272665
1.56,556,2548.306147
0.45,545,2550.319705
1.35,635,2552.634733
2.95,795,2555.583109
-0.53,447,2557.234921
5.55,1055,2563.679134
2.42,742,2566.418784
0.12,512,2568.289659
1.8,680,2570.782421
0.18,518,2572.690277
-0.07,493,2574.491568
-0.47,453,2576.144322
