#{"t_start": 1627866007.343853, "env_id": "SlimeVolley-v0"}
r,l,t
-5,570,888.036557
-5,461,888.612171
-5,627,889.280977
-5,514,889.950327
-5,762,890.834977
-5,601,891.492241
-4,750,892.281811
-5,448,892.756663
-5,522,893.294268
-4,674,894.019802
-5,475,894.519012
-4,771,895.323309
-5,551,895.974449
-5,718,896.696608
-5,622,897.388151
-5,545,897.949289
-4,672,898.657097
-5,504,899.176243
-4,556,899.769541
-5,522,900.321977
-5,541,900.90983
-5,727,901.696702
-5,564,902.272716
-5,714,903.02309
-5,758,903.839523
-5,512,904.384423
-5,643,905.060958
-5,458,905.569041
-5,466,906.053938
-5,681,906.77724
-5,589,907.405933
-5,562,907.984385
-5,605,908.649349
-5,479,909.162954
-4,1028,910.317281
-5,474,910.805296
-5,434,911.30633
-5,615,911.935544
-4,616,912.585843
-5,441,913.028388
-5,517,913.714966
-5,468,914.320225
-5,417,914.806223
-5,499,915.450075
-5,506,916.137726
-5,656,917.059263
-5,531,917.714285
-5,572,918.488723
-4,652,919.362219
-5,539,920.101509
-4,785,921.105129
-5,550,921.975994
-5,594,922.894769
-5,392,923.493835
-5,544,924.269468
-5,650,925.084462
-5,777,926.167929
-4,609,926.839032
-4,989,928.043362
-4,574,928.865952
-5,603,929.752315
-5,513,930.551983
-5,436,931.143901
-5,775,932.278622
-5,436,932.802836
-5,524,933.430803
-5,636,934.17026
-5,522,934.846345
-2,1158,936.217066
-5,861,937.400876
-5,495,938.05611
-5,468,938.679009
-5,693,939.521666
-5,642,940.31946
-4,822,941.413892
-4,599,942.184835
-5,555,942.88565
-5,402,943.434516
-5,632,944.211287
-5,414,944.78063
-5,683,945.588847
-5,534,946.322094
-5,608,947.230928
-5,720,948.234136
-5,604,948.948781
-5,547,949.660737
-5,592,950.425202
-5,458,950.987378
-5,674,951.822143
-5,653,952.76196
-5,492,953.394189
-5,525,954.035666
-5,529,954.739778
-5,574,955.445021
-5,583,956.222916
-5,459,956.814499
-5,439,957.317498
-5,567,958.054605
-5,505,958.683486
-5,491,959.303715
-5,517,960.020624
-5,546,960.812516
-5,547,961.530341
-5,426,962.130684
-5,466,962.712126
-5,501,963.338
-5,442,964.043091
-5,492,964.736392
-5,387,965.316689
-5,458,966.014379
-5,551,966.595762
-5,463,967.149894
-5,568,967.810466
-5,653,968.535161
-5,1287,970.076738
-5,578,970.827317
-5,512,971.472794
-4,624,972.342402
-5,653,973.305928
-2,976,974.692566
-5,559,975.51508
-5,537,976.305698
-5,390,976.836559
-5,655,977.631235
-5,928,978.837369
-5,497,979.531605
-5,614,980.561091
-5,541,981.308044
-5,513,981.978974
-5,844,983.12125
-5,430,983.5952
-5,574,984.248979
-5,697,985.061898
-5,511,985.704844
-5,791,986.772357
-5,544,987.408079
-5,485,988.004634
-5,563,988.675569
-5,701,989.484344
-5,686,990.34966
-5,762,991.245744
-5,509,991.816579
-4,492,992.408987
-5,574,993.106081
-5,533,993.764785
-5,616,994.50307
-5,685,995.276969
-5,528,995.978017
-5,485,996.653478
-5,733,997.489401
-5,491,998.057799
-5,586,998.881099
-5,584,999.506476
-5,510,1000.03641
-4,834,1001.082677
-5,768,1001.985849
-5,529,1002.596311
-5,717,1003.36239
-5,469,1003.888955
-5,493,1004.429683
-5,552,1005.004546
-5,564,1005.61981
-5,881,1006.644818
-5,554,1007.323071
-5,518,1007.885609
-5,555,1008.496471
-4,750,1009.294943
-5,532,1009.872436
-5,485,1010.407922
-5,554,1011.013634
-4,747,1011.848091
-5,671,1012.589969
-5,722,1013.381071
-5,611,1014.066023
-5,548,1014.708422
-5,699,1015.482302
-5,765,1016.450391
-5,941,1017.516497
-5,687,1018.256496
-5,433,1018.716728
-5,677,1019.457235
